Field,Type,Null,Key,Default,Extra
MyUnknownColumn,int,YES,,NULL,
Player,text,YES,,NULL,
Team,text,YES,,NULL,
"Total Games Played",int,YES,,NULL,
"Rounds Played",int,YES,,NULL,
Rating,double,YES,,NULL,
"Average Combat Score",double,YES,,NULL,
Kills:Death,double,YES,,NULL,
"Kill, Assist, Survive, Trade Percent",text,YES,,NULL,
"Average Damage per Round",double,YES,,NULL,
"Kills Per Round",double,YES,,NULL,
"Assists Per Round",double,YES,,NULL,
"First Kills Per Round",double,YES,,NULL,
"First Deaths Per Round",double,YES,,NULL,
"Headshot Percent",text,YES,,NULL,
"Clutch Success Percent%",text,YES,,NULL,
"Clutches (won/played)",text,YES,,NULL,
"Maximum Kills in a single map",text,YES,,NULL,
Kills,int,YES,,NULL,
Deaths,int,YES,,NULL,
Assists,int,YES,,NULL,
"First Kills",int,YES,,NULL,
"First Deaths",int,YES,,NULL,
