#,Organization
1,EDward Gaming
2,Team Heretics
3,Gen.G
4,Sentinels
5,LEVIATÁN
6,G2 Esports
7,FNATIC
8,Paper Rex
9,DRX
10,100 Thieves
11,Team Vitality
12,FUT Esports
13,Team Secret
14,KRÜ Esports
15,2GAME Esports
16,FunPlus Phoenix
17,Team Falcons
18,Trace Esports
19,G2 Gozen
20,M80
21,Talon Esports
22,Oxygen Esports
23,Shopify Rebellion
24,Apeks
25,All Knights
26,Sin Prisa Gaming
27,BOOM Esports
28,Revenant Esports
29,LOUD
30,Galorys
31,XLG Esports
32,PCIFIC Esports
33,RETA Esports
34,CGN Esports
35,True Rippers
36,Falcons Vega
37,The Ultimates
38,Karmine Corp
39,E-Xolos LAZER
40,Moist x Shopify Rebellion
41,Hero Base
42,Joblife
43,FlyQuest RED
44,RIDDLE
45,NAOS Esports
46,9z Team
47,R8 Esports
48,FENNEL
49,GoNext Esports
50,FULL SENSE
